Participant,Condition,Time,LDA_Errors,SVM_Errors
14,Walking,-6.0,10,4
14,Walking,-5.875,10,4
14,Walking,-5.75,11,7
14,Walking,-5.625,8,6
14,Walking,-5.5,9,5
14,Walking,-5.375,10,5
14,Walking,-5.25,10,5
14,Walking,-5.125,8,5
14,Walking,-5.0,8,7
14,Walking,-4.875,8,7
14,Walking,-4.75,8,6
14,Walking,-4.625,9,6
14,Walking,-4.5,9,7
14,Walking,-4.375,9,7
14,Walking,-4.25,9,8
14,Walking,-4.125,6,8
14,Walking,-4.0,8,5
14,Walking,-3.875,7,5
14,Walking,-3.75,7,7
14,Walking,-3.625,8,8
14,Walking,-3.5,11,10
14,Walking,-3.375,10,10
14,Walking,-3.25,9,11
14,Walking,-3.125,9,9
14,Walking,-3.0,10,9
14,Walking,-2.875,9,10
14,Walking,-2.75,9,11
14,Walking,-2.625,11,11
14,Walking,-2.5,9,10
14,Walking,-2.375,28,29
14,Walking,-2.25,26,27
14,Walking,-2.125,25,26
14,Walking,-2.0,21,20
14,Walking,-1.875,17,19
14,Walking,-1.75,13,18
14,Walking,-1.625,9,15
14,Walking,-1.5,8,12
14,Walking,-1.375,8,9
14,Walking,-1.25,7,8
14,Walking,-1.125,6,7
14,Walking,-1.0,5,4
14,Walking,-0.875,5,4
14,Walking,-0.75,5,4
14,Walking,-0.625,6,4
14,Walking,-0.5,5,3
14,Walking,-0.375,5,2
14,Walking,-0.25,5,2
14,Walking,-0.125,6,3
14,Walking,0.0,17,5
