Participant,Condition,Time,LDA_Errors,SVM_Errors
6,Walking,-6.0,14,6
6,Walking,-5.875,11,9
6,Walking,-5.75,10,11
6,Walking,-5.625,10,14
6,Walking,-5.5,10,10
6,Walking,-5.375,12,10
6,Walking,-5.25,12,10
6,Walking,-5.125,11,9
6,Walking,-5.0,12,7
6,Walking,-4.875,12,6
6,Walking,-4.75,10,6
6,Walking,-4.625,9,8
6,Walking,-4.5,8,8
6,Walking,-4.375,8,7
6,Walking,-4.25,5,7
6,Walking,-4.125,4,7
6,Walking,-4.0,6,6
6,Walking,-3.875,5,6
6,Walking,-3.75,5,6
6,Walking,-3.625,4,7
6,Walking,-3.5,6,6
6,Walking,-3.375,7,5
6,Walking,-3.25,8,7
6,Walking,-3.125,10,8
6,Walking,-3.0,14,10
6,Walking,-2.875,14,10
6,Walking,-2.75,13,14
6,Walking,-2.625,13,14
6,Walking,-2.5,16,15
6,Walking,-2.375,21,25
6,Walking,-2.25,21,23
6,Walking,-2.125,21,20
6,Walking,-2.0,19,20
6,Walking,-1.875,18,18
6,Walking,-1.75,14,17
6,Walking,-1.625,14,17
6,Walking,-1.5,13,12
6,Walking,-1.375,12,10
6,Walking,-1.25,11,10
6,Walking,-1.125,11,10
6,Walking,-1.0,9,9
6,Walking,-0.875,9,9
6,Walking,-0.75,10,10
6,Walking,-0.625,12,14
6,Walking,-0.5,15,14
6,Walking,-0.375,15,14
6,Walking,-0.25,16,13
6,Walking,-0.125,15,12
6,Walking,0.0,20,14
