Participant,Condition,Time,LDA_Errors,SVM_Errors
11,Walking,-6.0,10,9
11,Walking,-5.875,12,9
11,Walking,-5.75,11,10
11,Walking,-5.625,10,9
11,Walking,-5.5,12,9
11,Walking,-5.375,11,8
11,Walking,-5.25,11,6
11,Walking,-5.125,10,8
11,Walking,-5.0,9,9
11,Walking,-4.875,9,9
11,Walking,-4.75,10,8
11,Walking,-4.625,11,8
11,Walking,-4.5,9,8
11,Walking,-4.375,9,8
11,Walking,-4.25,9,9
11,Walking,-4.125,9,6
11,Walking,-4.0,7,6
11,Walking,-3.875,8,5
11,Walking,-3.75,6,5
11,Walking,-3.625,6,3
11,Walking,-3.5,7,4
11,Walking,-3.375,8,8
11,Walking,-3.25,9,8
11,Walking,-3.125,9,7
11,Walking,-3.0,11,9
11,Walking,-2.875,11,12
11,Walking,-2.75,10,10
11,Walking,-2.625,11,10
11,Walking,-2.5,15,12
11,Walking,-2.375,22,26
11,Walking,-2.25,24,24
11,Walking,-2.125,23,24
11,Walking,-2.0,21,24
11,Walking,-1.875,17,20
11,Walking,-1.75,14,17
11,Walking,-1.625,11,14
11,Walking,-1.5,9,8
11,Walking,-1.375,8,7
11,Walking,-1.25,3,5
11,Walking,-1.125,1,5
11,Walking,-1.0,2,4
11,Walking,-0.875,2,4
11,Walking,-0.75,2,4
11,Walking,-0.625,2,3
11,Walking,-0.5,1,4
11,Walking,-0.375,2,5
11,Walking,-0.25,5,5
11,Walking,-0.125,7,4
11,Walking,0.0,7,6
