Participant,Condition,Time,LDA_Errors,SVM_Errors
13,Leaning,-6.0,16,10
13,Leaning,-5.875,18,10
13,Leaning,-5.75,17,9
13,Leaning,-5.625,17,9
13,Leaning,-5.5,18,10
13,Leaning,-5.375,17,10
13,Leaning,-5.25,18,10
13,Leaning,-5.125,18,11
13,Leaning,-5.0,13,10
13,Leaning,-4.875,12,10
13,Leaning,-4.75,10,10
13,Leaning,-4.625,10,8
13,Leaning,-4.5,7,10
13,Leaning,-4.375,9,8
13,Leaning,-4.25,10,6
13,Leaning,-4.125,9,6
13,Leaning,-4.0,7,5
13,Leaning,-3.875,7,6
13,Leaning,-3.75,5,6
13,Leaning,-3.625,7,4
13,Leaning,-3.5,8,4
13,Leaning,-3.375,11,4
13,Leaning,-3.25,9,4
13,Leaning,-3.125,10,2
13,Leaning,-3.0,6,2
13,Leaning,-2.875,6,2
13,Leaning,-2.75,6,5
13,Leaning,-2.625,6,10
13,Leaning,-2.5,7,11
13,Leaning,-2.375,31,28
13,Leaning,-2.25,30,30
13,Leaning,-2.125,27,26
13,Leaning,-2.0,23,22
13,Leaning,-1.875,22,20
13,Leaning,-1.75,20,22
13,Leaning,-1.625,19,19
13,Leaning,-1.5,13,18
13,Leaning,-1.375,12,18
13,Leaning,-1.25,8,18
13,Leaning,-1.125,7,13
13,Leaning,-1.0,8,9
13,Leaning,-0.875,7,6
13,Leaning,-0.75,8,6
13,Leaning,-0.625,8,4
13,Leaning,-0.5,10,3
13,Leaning,-0.375,11,4
13,Leaning,-0.25,11,4
13,Leaning,-0.125,15,4
13,Leaning,0.0,24,7
