Participant,Condition,Time,LDA_Errors,SVM_Errors
14,Walking,-5.0,8,8
14,Walking,-4.875,12,8
14,Walking,-4.75,13,10
14,Walking,-4.625,11,12
14,Walking,-4.5,15,12
14,Walking,-4.375,16,13
14,Walking,-4.25,15,13
14,Walking,-4.125,14,13
14,Walking,-4.0,11,12
14,Walking,-3.875,11,12
14,Walking,-3.75,10,10
14,Walking,-3.625,13,9
14,Walking,-3.5,14,6
14,Walking,-3.375,12,6
14,Walking,-3.25,11,7
14,Walking,-3.125,9,6
14,Walking,-3.0,9,5
14,Walking,-2.875,7,3
14,Walking,-2.75,5,1
14,Walking,-2.625,3,2
14,Walking,-2.5,4,3
14,Walking,-2.375,5,2
14,Walking,-2.25,5,2
14,Walking,-2.125,6,2
14,Walking,-2.0,9,8
14,Walking,-1.875,10,10
14,Walking,-1.75,12,9
14,Walking,-1.625,14,9
14,Walking,-1.5,20,16
14,Walking,-1.375,17,17
14,Walking,-1.25,19,13
14,Walking,-1.125,16,11
14,Walking,-1.0,11,7
14,Walking,-0.875,10,6
14,Walking,-0.75,10,5
14,Walking,-0.625,9,5
14,Walking,-0.5,8,5
14,Walking,-0.375,9,4
14,Walking,-0.25,7,6
14,Walking,-0.125,6,6
14,Walking,0.0,7,6
14,Walking,0.125,6,6
14,Walking,0.25,8,8
14,Walking,0.375,9,7
14,Walking,0.5,13,9
14,Walking,0.625,14,12
14,Walking,0.75,18,15
14,Walking,0.875,19,15
14,Walking,1.0,24,15
