Participant,Condition,Time,LDA_Errors,SVM_Errors
8,Walking,-5.0,18,10
8,Walking,-4.875,14,9
8,Walking,-4.75,13,9
8,Walking,-4.625,14,8
8,Walking,-4.5,14,9
8,Walking,-4.375,11,10
8,Walking,-4.25,12,11
8,Walking,-4.125,8,10
8,Walking,-4.0,8,9
8,Walking,-3.875,5,7
8,Walking,-3.75,4,8
8,Walking,-3.625,4,9
8,Walking,-3.5,5,9
8,Walking,-3.375,5,7
8,Walking,-3.25,7,7
8,Walking,-3.125,9,6
8,Walking,-3.0,12,9
8,Walking,-2.875,14,8
8,Walking,-2.75,16,9
8,Walking,-2.625,16,11
8,Walking,-2.5,14,10
8,Walking,-2.375,11,7
8,Walking,-2.25,9,6
8,Walking,-2.125,7,6
8,Walking,-2.0,8,5
8,Walking,-1.875,8,4
8,Walking,-1.75,6,4
8,Walking,-1.625,6,4
8,Walking,-1.5,9,10
8,Walking,-1.375,27,26
8,Walking,-1.25,26,23
8,Walking,-1.125,24,23
8,Walking,-1.0,21,21
8,Walking,-0.875,17,21
8,Walking,-0.75,16,18
8,Walking,-0.625,12,17
8,Walking,-0.5,13,16
8,Walking,-0.375,13,14
8,Walking,-0.25,12,15
8,Walking,-0.125,12,13
8,Walking,0.0,13,11
8,Walking,0.125,10,12
8,Walking,0.25,12,12
8,Walking,0.375,12,12
8,Walking,0.5,11,15
8,Walking,0.625,10,14
8,Walking,0.75,12,13
8,Walking,0.875,14,14
8,Walking,1.0,15,10
