Participant,Condition,Time,LDA_Errors,SVM_Errors
1,Leaning,-5.0,8,6
1,Leaning,-4.875,9,9
1,Leaning,-4.75,10,9
1,Leaning,-4.625,10,9
1,Leaning,-4.5,9,8
1,Leaning,-4.375,9,7
1,Leaning,-4.25,9,7
1,Leaning,-4.125,7,6
1,Leaning,-4.0,6,6
1,Leaning,-3.875,6,8
1,Leaning,-3.75,6,9
1,Leaning,-3.625,7,10
1,Leaning,-3.5,9,10
1,Leaning,-3.375,9,9
1,Leaning,-3.25,8,9
1,Leaning,-3.125,7,7
1,Leaning,-3.0,6,9
1,Leaning,-2.875,6,10
1,Leaning,-2.75,5,10
1,Leaning,-2.625,5,9
1,Leaning,-2.5,4,9
1,Leaning,-2.375,6,10
1,Leaning,-2.25,9,8
1,Leaning,-2.125,10,7
1,Leaning,-2.0,11,9
1,Leaning,-1.875,10,9
1,Leaning,-1.75,14,12
1,Leaning,-1.625,15,16
1,Leaning,-1.5,19,16
1,Leaning,-1.375,16,20
1,Leaning,-1.25,15,18
1,Leaning,-1.125,13,15
1,Leaning,-1.0,11,12
1,Leaning,-0.875,10,12
1,Leaning,-0.75,10,12
1,Leaning,-0.625,9,13
1,Leaning,-0.5,13,13
1,Leaning,-0.375,13,13
1,Leaning,-0.25,12,13
1,Leaning,-0.125,14,13
1,Leaning,0.0,16,11
1,Leaning,0.125,16,14
1,Leaning,0.25,17,15
1,Leaning,0.375,18,16
1,Leaning,0.5,20,16
1,Leaning,0.625,19,17
1,Leaning,0.75,20,16
1,Leaning,0.875,22,17
1,Leaning,1.0,20,16
